Class	Order	Family	Genus/Species	Common Name	 	
Demospongiae	Haplosclerida	Phloeodictyidae	Aka cf. brevitubulata		 	
Demospongiae	Haplosclerida	Phloeodictyidae	Aka coralliphaga			
Demospongiae	Haplosclerida	Phloeodictyidae	Calyx podatypa			
Demospongiae	Haplosclerida	Phloeodictyidae	Oceanapia bartschi		 	
Demospongiae	Haplosclerida	Phloeodictyidae	Oceanapia nodosa			
Demospongiae	Haplosclerida	Phloeodictyidae	Oceanapia oleracea		 	
Demospongiae	Haplosclerida	Phloeodictyidae	Oceanapia peltata			
Demospongiae	Homoscleromorpha	Plakinidae	Plakinastrella onkodes		 	
Demospongiae	Homosclerophorida	Plakinidae	Oscarella sp.		 	
Demospongiae	Homosclerophorida	Plakinidae	Plakortis angulospiculatus			
Demospongiae	Homosclerophorida	Plakinidae	Plakortis halichondroides		 	
Demospongiae	Homosclerophorida	Plakinidae	Plakortis simplex species complex			
Demospongiae	Leucosolenida	Grantiidae	Leucandra aspera		 	
Demospongiae	Lithistida	Theonellidae	Discodermia dissoluta		 	
Demospongiae	Poecilosclerida	Acarnidae	Acarnus nicoleae		 	
Demospongiae	Poecilosclerida	Acarnidae	Acarnus souriei		 	
Demospongiae	Poecilosclerida	Coelosphaeridae	Lissodendoryx colombiensis			
Demospongiae	Poecilosclerida	Coelosphaeridae	Lissodendoryx isodictyalis			
Demospongiae	Poecilosclerida	Coelosphaeridae	Lissodendoryx sp.		 	
Demospongiae	Poecilosclerida	Crambeidae	Monanchora arbuscula			
Demospongiae	Poecilosclerida	Crambeidae	Monanchora unguifera	Fine Lumpy Sponge	 	
Demospongiae	Poecilosclerida	Desmacellidae	Biemna caribea			
Demospongiae	Poecilosclerida	Desmacellidae	Biemna sp.		 	
Demospongiae	Poecilosclerida	Desmacellidae	Biemna tubulata		 	
Demospongiae	Poecilosclerida	Desmacellidae	Neofibularia nolitangere			
Demospongiae	Poecilosclerida	Desmacididae	Desmapsamma anchorata			
Demospongiae	Poecilosclerida	Iotrochotidae	Iotrochota birotulata	Green finger sponge		
Demospongiae	Poecilosclerida	Iotrochotidae	Iotrochota sp.		 	
Demospongiae	Poecilosclerida	Merliidae	Merlia normani		 	
Demospongiae	Poecilosclerida	Microcionidae	Artemisina melana			
Demospongiae	Poecilosclerida	Microcionidae	Clathria (Thalysias) aspera		 	
Demospongiae	Poecilosclerida	Microcionidae	Clathria echinata			
Demospongiae	Poecilosclerida	Microcionidae	Clathria ferrea		 	
Demospongiae	Poecilosclerida	Microcionidae	Clathria microchela		 	
Demospongiae	Poecilosclerida	Microcionidae	Clathria schoenus			
Demospongiae	Poecilosclerida	Microcionidae	Clathria venosa			
Demospongiae	Poecilosclerida	Microcionidae	Pandaros acanthifolium		 	
Demospongiae	Poecilosclerida	Microcioninae	Raphidophlus sp.		 	
Demospongiae	Poecilosclerida	Mycalidae	Mycale (Naviculina) cf. arndti			
Demospongiae	Poecilosclerida	Mycalidae	Mycale (Naviculina) cf. laevis	Orange icing sponge		
Demospongiae	Poecilosclerida	Mycalidae	Mycale (Naviculina) cf. laxissima	Strawberry vase sponge		
Demospongiae	Poecilosclerida	Mycalidae	Mycale angulosa		 	
Demospongiae	Poecilosclerida	Mycalidae	Mycale arenaria		 	
Demospongiae	Poecilosclerida	Mycalidae	Mycale carmigropila			
Demospongiae	Poecilosclerida	Mycalidae	Mycale cf. americana		 	
Demospongiae	Poecilosclerida	Mycalidae	Mycale cf. diversisigmata		 	
Demospongiae	Poecilosclerida	Mycalidae	Mycale citrina			
Demospongiae	Poecilosclerida	Mycalidae	Mycale magnirhaphidifera		 	
Demospongiae	Poecilosclerida	Mycalidae	Mycale microsigmatosa			
Demospongiae	Poecilosclerida	Mycalidae	Mycale sp. a		 	
Demospongiae	Poecilosclerida	Mycalidae	Mycale sp. b		 	
Demospongiae	Poecilosclerida	Raspailiidae	Ectyoplasia ferox	Brown encrusting octopus sponge		
Demospongiae	Poecilosclerida	Tedaniidae	Tedania ignis	Fire Sponge		
Demospongiae	Poecilosclerida	Tedaniidae	Tedania klausi		 	
Demospongiae	Spirophorida	Tetillidae	Cinachyra sp.		 	
Demospongiae	Spirophorida	Tetillidae	Cinachyrella alloclada			
Demospongiae	Spirophorida	Tetillidae	Cinachyrella apion			
Demospongiae	Verongida	Aplysinidae	Aiolochroia crassa	Yellow throated tube sponge	 	
Demospongiae	Verongida	Aplysinidae	Aplysina archeri	Stove-pipe sponge	 	
Demospongiae	Verongida	Aplysinidae	Aplysina cauliformis	Row pore rope sponge		
Demospongiae	Verongida	Aplysinidae	Aplysina fistularis			
Demospongiae	Verongida	Aplysinidae	Aplysina fulva	Scattered pore rope sponge		
Demospongiae	Verongida	Aplysinidae	Aplysina insularis			
Demospongiae	Verongida	Aplysinidae	Aplysina lacunosa			
Demospongiae	Verongida	Aplysinidae	Verongula â€œintermediaâ€		 	
Demospongiae	Verongida	Aplysinidae	Verongula reiswigi			
Demospongiae	Verongida	Aplysinidae	Verongula rigida	Pitted sponge		
Demospongiae	Verongida	Darwinellidae	Aplysilla gracilis		 	
Anthozoa	Actiniaria	Actiniidae	Anthopleura sp.		 	
Anthozoa	Actiniaria	Actiniidae	Condylactis gigantea	Giant anemone	 	
Anthozoa	Actiniaria	Actiniidae	Phyllactis sp.		 	
Anthozoa	Actiniaria	Aiptasiidae	Aiptasia sp.		 	
Anthozoa	Actiniaria	Aiptasiidae	Bartholomea annulata	Curlique anemone	 	
Anthozoa	Actiniaria	Aiptasiidae	Bartholomea lucida	Knobby anemone	 	
Anthozoa	Actiniaria	Aiptasiidae	Bartholomea sp.		 	
Anthozoa	Actiniaria	Aiptasiidae	Heteractis lucida		 	
Anthozoa	Actiniaria	Aliciidae	Lebrunia danae	Branching anemone	 	
Anthozoa	Actiniaria	Aliciidae	Lebrunia sp. 1		 	
Anthozoa	Actiniaria	Aliciidae	Lebrunia sp. 2		 	
Anthozoa	Actiniaria	Phymanthidae	Heteranthus sp.		 	
Anthozoa	Actiniaria	Phymanthidae	Phymanthus crucifer	Red beaded anemone	 	
Anthozoa	Actiniaria	Phymanthidae	Phymanthus sp. 1		 	
Anthozoa	Actiniaria	Phymanthidae	Phymanthus sp. 2		 	
Anthozoa	Actiniaria	Phymanthidae	Phymanthus sp. 3		 	
Anthozoa	Actiniaria	Sagartiidae	Sagartia sp.		 	
Anthozoa	Actiniaria	Stichodactylidae	Stichodactyla helianthus	Sun anemone	 	
Anthozoa	Alcyonacea	Anthothelidae	Erythropodium caribaeorum	Encrusting gorgonian		
Anthozoa	Alcyonacea	Briareidae	Briareum asbestinum	Corky Sea Finger, Deadman's Fingers		
Anthozoa	Alcyonacea	Ellisellidae	Ctenocella barbadensis	Devil's sea whip		
Anthozoa	Alcyonacea	Ellisellidae	Ellisella barbadensis	Devil's sea whip		
Anthozoa	Alcyonacea	Gorgoniidae	Gorgonia flabellum	Common sea fan		
Anthozoa	Alcyonacea	Gorgoniidae	Gorgonia mariae	Wide-Mesh sea fan		
Anthozoa	Alcyonacea	Gorgoniidae	Gorgonia ventalina	Wide mesh sea fan	 	
Anthozoa	Alcyonacea	Gorgoniidae	Leptogorgia spp.		 	
Anthozoa	Alcyonacea	Gorgoniidae	Pseudopterogorgia acerosa	Smooth sea feather		
Anthozoa	Alcyonacea	Gorgoniidae	Pseudopterogorgia americana	Slimy sea plume		
Anthozoa	Alcyonacea	Gorgoniidae	Pseudopterogorgia bipinnata	Bipinnate sea plume	 	
Anthozoa	Alcyonacea	Gorgoniidae	Pseudopterogorgia rigida		 	
Anthozoa	Alcyonacea	Gorgoniidae	Pseudopterogorgia sp.	Sea plumes	 	
Anthozoa	Alcyonacea	Gorgoniidae	Pterogorgia anceps	Angular sea whip		
Anthozoa	Alcyonacea	Gorgoniidae	Pterogorgia citrina	Yellow sea whip		
Anthozoa	Alcyonacea	Gorgoniidae	Pterogorgia guadalupensis	Grooved-Blade sea whip	 	
Anthozoa	Alcyonacea	Gorgoniidae	Pterogorgia sp.		 	
Anthozoa	Alcyonacea	Plexauridae	Eunicea asperula	Knobby candelabra		
Anthozoa	Alcyonacea	Plexauridae	Eunicea calyculata	Warty sea rod		
Anthozoa	Alcyonacea	Plexauridae	Eunicea clavigera		 	
Anthozoa	Alcyonacea	Plexauridae	Eunicea flexuosa	Bent sea rod		
Anthozoa	Alcyonacea	Plexauridae	Eunicea fusca	Doughnut sea rod		
Anthozoa	Alcyonacea	Plexauridae	Eunicea knighti			
Anthozoa	Alcyonacea	Plexauridae	Eunicea laciniata			
Anthozoa	Alcyonacea	Plexauridae	Eunicea laxispica			
Anthozoa	Alcyonacea	Plexauridae	Eunicea mammosa	Swollen knob		
Anthozoa	Alcyonacea	Plexauridae	Eunicea pallida			
Anthozoa	Alcyonacea	Plexauridae	Eunicea sp.		 	
Anthozoa	Alcyonacea	Plexauridae	Eunicea sp. 1		 	
Anthozoa	Alcyonacea	Plexauridae	Eunicea sp. 2		 	
Anthozoa	Alcyonacea	Plexauridae	Eunicea succinea	Shelf knob sea rod		
Anthozoa	Alcyonacea	Plexauridae	Eunicea tourneforti		 	
Anthozoa	Alcyonacea	Plexauridae	Muricea atlantica			
Anthozoa	Alcyonacea	Plexauridae	Muricea elongata	Orange Spiny Sea Rod		
Anthozoa	Alcyonacea	Plexauridae	Muricea laxa	Delicate spiny sea rod		
Anthozoa	Alcyonacea	Plexauridae	Muricea muricata	Spiny sea fan		
Anthozoa	Alcyonacea	Plexauridae	Muricea pinnata	Long spine sea fan		
Anthozoa	Alcyonacea	Plexauridae	Muriceopsis bayeri			
Anthozoa	Alcyonacea	Plexauridae	Muriceopsis flavida	Rough sea plume		
Anthozoa	Alcyonacea	Plexauridae	Muriceopsis petila	Deep water sea plume	 	
Anthozoa	Alcyonacea	Plexauridae	Muriceopsis sulphurea	Sulphur sea plume	 	
Anthozoa	Alcyonacea	Plexauridae	Plexaura flexuosa	Bent sea rod		
Anthozoa	Alcyonacea	Plexauridae	Plexaura homomalla	Black sea rod	 	
Anthozoa	Alcyonacea	Plexauridae	Plexaura kukenthali			
Anthozoa	Alcyonacea	Plexauridae	Plexaura kuna			
Anthozoa	Alcyonacea	Plexauridae	Plexaura nina		 	
Anthozoa	Alcyonacea	Plexauridae	Plexaurella dichotoma		 	
Anthozoa	Alcyonacea	Plexauridae	Plexaurella fusifera		 	
Anthozoa	Alcyonacea	Plexauridae	Plexaurella grisea	Sausage Coral	 	
Anthozoa	Alcyonacea	Plexauridae	Plexaurella nutans	Giant slit-pore sea rod		
Anthozoa	Alcyonacea	Plexauridae	Plexaurella obesa		 	
Anthozoa	Alcyonacea	Plexauridae	Plexaurella sp.		 	
Anthozoa	Alcyonacea	Plexauridae	Pseudoplexaura flagellosa		 	
Anthozoa	Alcyonacea	Plexauridae	Pseudoplexaura porosa		 	
Anthozoa	Alcyonacea	Plexauridae	Pseudoplexaura sp.	Porous sea rods		
Anthozoa	Alcyonacea	Plexauridae	Pseudoplexaura wagenaari		 	
Anthozoa	Alcyonacea	Telestidae	Briareum polyanthes			
Anthozoa	Anthipataria	Antipathidae	Cirrhipathes leutkeni	Wire coral		
Anthozoa	Antipatharia	Antipatharia	Antipathes sp.	Fire coral	 	
Anthozoa	Antipatharia	Antipathidae	Antipathes atlantica	Gray sea fan black coral	 	
Anthozoa	Antipatharia	Antipathidae	Antipathes caribbeana			
Anthozoa	Antipatharia	Antipathidae	Antipathes furcata		 	
Anthozoa	Antipatharia	Antipathidae	Antipathes gracilis	Orange sea fan black coral		
Anthozoa	Antipatharia	Antipathidae	Antipathes lenta		 	
Anthozoa	Antipatharia	Antipathidae	Antipathes pennacea	Feather black coral		
Anthozoa	Antipatharia	Antipathidae	Stichopathes lutkeni		 	
Anthozoa	Antipatharia	Antipathidae	Stichopathes occidentalis		 	
Anthozoa	Antipatharia	Antipathidae	Stichopathes sp.		 	
Anthozoa	Antipatharia	Myriopathidae	Plumapathes pennacea		 	
Anthozoa	Antipatharia	Myriopathidae	Tanacetipathes barbadensis		 	
Anthozoa	Antipatharia	Myriopathidae	Tanacetipathes hirta		 	
Anthozoa	Antipatharia	Myriopathidae	Tanacetipathes tanacetum		 	
Anthozoa	Antipatharia	Myriopathidae	Tanacetipathes thamnea		 	
Anthozoa	Corallimorpharia	Corallimorphidae	Pseudocorynactis caribbeorum		 	
Anthozoa	Corallimorpharia	Discosomatidae	Discosoma carlgreni		 	
Anthozoa	Corallimorpharia	Discosomatidae	Discosoma santithomae		 	
Anthozoa	Corallimorpharia	Ricordiidae	Ricordea florida	False coral	 	
Anthozoa	Gorgonacea	Ellisellidae	Ctenocella schmitti	Bushy sea whip		
Anthozoa	Gorgonacea	Ellisellidae	Nicella schmitti	Bushy sea whip		
Anthozoa	Pennatulacea	Antipathidae	Stylatula sp.		 	
Anthozoa	Scleractinia	Acroporidae	Acropora cervicornis	Staghorn coral		
Anthozoa	Scleractinia	Acroporidae	Acropora palmata	Elkhorn coral		
Anthozoa	Scleractinia	Acroporidae	Acropora prolifera	Fused staghom coral	 	
Anthozoa	Scleractinia	Agariciidae	Agaricia agaricites	Lettuce coral		
Anthozoa	Scleractinia	Agariciidae	Agaricia danai		 	
Anthozoa	Scleractinia	Agariciidae	Agaricia fragilis	Fragile saucer coral.		
Anthozoa	Scleractinia	Agariciidae	Agaricia grahamae		 	
Anthozoa	Scleractinia	Agariciidae	Agaricia humilis	Lowrelief lettuce coral		
Anthozoa	Scleractinia	Agariciidae	Agaricia lamarcki	Lamarck's sheet coral		
Anthozoa	Scleractinia	Agariciidae	Agaricia purpurea		 	
Anthozoa	Scleractinia	Agariciidae	Agaricia reticulata		 	
Anthozoa	Scleractinia	Agariciidae	Agaricia tenuifolia	Thin leaf lettuce coral		
Anthozoa	Scleractinia	Agariciidae	Agaricia undata	Scroll coral	 	
Anthozoa	Scleractinia	Agariciidae	Leptoseris cucullata	Sunray lettuce coral		
Anthozoa	Scleractinia	Astrangiidae	Astrangia solitaria	Dwarf cup coral	 	
Anthozoa	Scleractinia	Astrangiidae	Phyllangia americana	Hidden Cup coral		
Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia intersepta			
Anthozoa	Scleractinia	Caryophylliidae	Eusmilia fastigiata	Smooth flower coral	 	
Anthozoa	Scleractinia	Faviidae	Colpophyllia amaranthus		 	
Anthozoa	Scleractinia	Faviidae	Colpophyllia breviserialis	Closed-Valley Barin coral	 	
Anthozoa	Scleractinia	Faviidae	Colpophyllia natans	Boulder brain coral		
Anthozoa	Scleractinia	Faviidae	Diploria clivosa	Knobby brain coral		
Anthozoa	Scleractinia	Faviidae	Diploria labyrinthiformis	Grooved brain coral		
Anthozoa	Scleractinia	Faviidae	Diploria strigosa	Brain coral		
Anthozoa	Scleractinia	Faviidae	Favia fragum	Golfball coral		
Anthozoa	Scleractinia	Faviidae	Favia sp.			
Anthozoa	Scleractinia	Faviidae	Manicina areolata	Rose coral		
Anthozoa	Scleractinia	Faviidae	Manicina mayori		 	
Anthozoa	Scleractinia	Faviidae	Montastraea annularis	Boulder star coral		
Anthozoa	Scleractinia	Faviidae	Montastraea cavernosa	Great star coral		
Anthozoa	Scleractinia	Faviidae	Montastraea complex		 	
Anthozoa	Scleractinia	Faviidae	Montastraea faveolata			
Anthozoa	Scleractinia	Faviidae	Montastraea franksi			
Anthozoa	Scleractinia	Faviidae	Solenastrea bournoni	Smooth star coral		
Anthozoa	Scleractinia	Faviidae	Solenastrea hyades	Knobby star coral	 	
Anthozoa	Scleractinia	Meandrinidae	Dichocoenia stellaris	Pan care star coral	 	
Anthozoa	Scleractinia	Meandrinidae	Dichocoenia stockesii	Elliptical star coral	 	
Anthozoa	Scleractinia	Meandrinidae	Meandrina brasilensis		 	
Anthozoa	Scleractinia	Meandrinidae	Meandrina meandrites	Maze coral		
Anthozoa	Scleractinia	Mussidae	Isophyllastrea rigida	Rough star coral		
Anthozoa	Scleractinia	Mussidae	Isophyllia sinuosa	Sinuous cactus coral		
Anthozoa	Scleractinia	Mussidae	Mussa angulosa	Spiny flower coral		
Anthozoa	Scleractinia	Mussidae	Mycetophyllia aliciae	Knobby cactus coral		
Anthozoa	Scleractinia	Mussidae	Mycetophyllia danaana	Lowridge cactus coral	 	
Anthozoa	Scleractinia	Mussidae	Mycetophyllia ferox	Rough cactus coral	 	
Anthozoa	Scleractinia	Mussidae	Mycetophyllia lamarckiana	Ridges cactus coral		
Anthozoa	Scleractinia	Mussidae	Mycetophyllia reesi	Ridgeless cactus coral	 	
Anthozoa	Scleractinia	Mussidae	Scolymia cubensis	Artichoke/Solitary disc coral		
Anthozoa	Scleractinia	Mussidae	Scolymia lacera	Atlantic mushroom coral	 	
Anthozoa	Scleractinia	Mussidae	Scolymia wellsi	Solitary disk coral		
Anthozoa	Scleractinia	Oculinidae	Oculina diffusa	Ivory bush coral	 	
Anthozoa	Scleractinia	Pocilloporidae	Madracis decactis	Ten-ray star coral		
Anthozoa	Scleractinia	Pocilloporidae	Madracis mirabilis	Yellow pencil coral		
Anthozoa	Scleractinia	Poritidae	Porites astreoides	Mustard hill coral		
Anthozoa	Scleractinia	Poritidae	Porites colonensis	Honeycomb plate coral	 	
Anthozoa	Scleractinia	Poritidae	Porites divaricata	Thin finger coral	 	
Anthozoa	Scleractinia	Poritidae	Porites furcata	Branched finger coral	 	
Anthozoa	Scleractinia	Poritidae	Porites porites	Clubtip finger coral		
Anthozoa	Scleractinia	Seriatoporidae	Madracis luciphila	Encrusting star coral	 	
Anthozoa	Scleractinia	Seriatoporidae	Madracis pharensis		 	
Anthozoa	Scleractinia	Siderastreidae	Siderastrea radians	Lesser starlet coral	 	
Anthozoa	Scleractinia	Siderastreidae	Siderastrea siderea	Massive starlet coral		
Anthozoa	Scleractinia	Stylophoridae	Madracis asperula		 	
Anthozoa	Telestacea	Telestidae	Carijoa riisei	White telesto		
Anthozoa	Zoanthidea	Parazoanthidae	Isozoanthus antumbrosus		 	
Anthozoa	Zoanthidea	Zoanthidae	Palythoa caribaeorum	White encrusting zoanthid	 	
Anthozoa	Zoanthidea	Zoanthidae	Zoanthus pulchellus	Mat zoanthid	 	
Cubozoa	Cubomedusae	Carybdeidae	Carybdea sp.		 	
Cubozoa	Cubomedusae	Carybdeidae	Carybdea xaymacana		 	
Hydrozoa	Actinulida	Halammohydridae	Halammohydra sp.1		 	
Hydrozoa	Actinulidae	Halammohydridae	Halammohydra sp.		 	
Hydrozoa	Actinulidae	Halammohydridae	Otohydra sp.		 	
Hydrozoa	Anthoathecata	Bougainvilliidae	Bimeria vestita		 	
