event	Site.Name	Ecosystem	Latitude	Longitude	Depth	Method	Block	datetime	Diver	BayRegion	Site.Code	Site.Code.2
Popa Sand_7/5/17_2	Popa Sand	Sand	9.233952	-82.117477	2.5	1	2	2017-07-05T18:30:00Z	Will Wied	Outside	PPR-Sa	Sa-PPR
STRI Point Reef_6/15/17_1	STRI Point Reef	Reef	9.34872	-82.26258	3	1	1	2017-06-15T19:30:00Z	Will Wied	Outer Bay	PST-C	C-PST
STRI Point Reef_6/15/17_2	STRI Point Reef	Reef	9.34872	-82.26258	5	1	2	2017-06-15T19:30:00Z	Janina Seemann	Outer Bay	PST-C	C-PST
Stri Dock_7/7/17_1	Stri Dock	Dock	9.351037	-82.257226	1	1	1	2017-07-07T15:40:00Z	Will Wied	Outer Bay	PST-D	D-PST
Stri Point Mangrove_6/15/17_1	Stri Point Mangrove	Mangrove	9.35195	-82.258983	2	1	1	2017-06-15T15:00:00Z	Janina Seemann	Outer Bay	PST-M	M-PST
Stri Point Mangrove_6/15/17_2	Stri Point Mangrove	Mangrove	9.35195	-82.258983	2	1	2	2017-06-15T15:00:00Z	Will Wied	Outer Bay	PST-M	M-PST
Stri Point Seagrass_6/15/17_1	Stri Point Seagrass	Seagrass	9.35229	-82.25833	2	1	1	2017-06-15T17:20:00Z	Janina Seemann	Outer Bay	PST-S	S-PST
Stri Point Seagrass_6/15/17_2	Stri Point Seagrass	Seagrass	9.35229	-82.25833	2	1	2	2017-06-15T17:20:00Z	Will Wied	Outer Bay	PST-S	S-PST
Stri Point Sand_7/12/17_1	Stri Point Sand	Sand	9.34857	-82.26248	3	1	1	2017-07-12T22:00:00Z	Janina Seemann	Outer Bay	PST-Sa	Sa-PST
Stri Point Sand_7/12/17_2	Stri Point Sand	Sand	9.34857	-82.26248	2	1	2	2017-07-12T21:40:00Z	Will Wied	Outer Bay	PST-Sa	Sa-PST
Cayo Roldan Mangroves_6/20/17_1	Cayo Roldan Mangroves	Mangrove	9.21451	-82.324	1	1	1	2017-06-20T18:00:00Z	Janina Seemann	Inner Bay	ROL-M	M-ROL
