phylum	class	order	family	genus	species	tsn	accepted_tsn	in_bocas_db_raw	in_bocas_db_acctsn	acctsn_or_raw_in_bdb
Chordata	Actinopteri	Perciformes	Serranidae	Rypticus	Rypticus carpenteri	NA	NA	FALSE	NA	NA
Cnidaria	Anthozoa	Zoantharia	Nanozoanthidae	Nanozoanthus	Nanozoanthus harenaceus	NA	NA	FALSE	NA	NA
Arthropoda	Malacostraca	Decapoda	Mithracidae	Nonala	Nonala holderi	NA	NA	FALSE	NA	NA
Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus angustitergum	656249	656249	FALSE	FALSE	FALSE
Porifera	Demospongiae	Biemnida	NA	Rhabderemia	Rhabderemia sorokinae	NA	NA	FALSE	NA	NA
Arthropoda	Malacostraca	NA	Gonodactylidae	Neogonodactylus	Neogonodactylus bredini	682548	682548	TRUE	TRUE	TRUE
Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Obelia	Obelia dichotoma	49519	49519	TRUE	TRUE	TRUE
Chordata	Actinopteri	Scombriformes	Scombridae	Euthynnus	Euthynnus alletteratus	172402	172402	FALSE	FALSE	FALSE
Annelida	Polychaeta	Phyllodocida	Polynoidae	Lepidonotus	Lepidonotus humilis	64640	64640	FALSE	FALSE	FALSE
Echinodermata	Ophiuroidea	Ophiurida	Ophiotrichidae	Ophiothrix	Ophiothrix angulata	157796	157796	TRUE	TRUE	TRUE
Echinodermata	Ophiuroidea	Ophiurida	Ophiodermatidae	Ophioderma	Ophioderma appressa	NA	NA	FALSE	NA	NA
Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Aetobatus	Aetobatus ocellatus	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Clupeiformes	Clupeidae	Jenkinsia	Jenkinsia lamprotaenia	161759	161759	FALSE	FALSE	FALSE
Porifera	Demospongiae	Suberitida	NA	Terpios	Terpios hoshinota	NA	NA	FALSE	NA	NA
Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	Lensia	Lensia campanella	51289	51289	FALSE	FALSE	FALSE
Chordata	Actinopteri	Blenniiformes	Tripterygiidae	Enneanectes	Enneanectes boehlkei	171367	171367	FALSE	FALSE	FALSE
Chordata	Actinopteri	Carangiformes	Carangidae	Chloroscombrus	Chloroscombrus chrysurus	168670	168670	TRUE	TRUE	TRUE
Arthropoda	Malacostraca	Decapoda	Portunidae	Charybdis	Charybdis hellerii	199969	199969	FALSE	TRUE	TRUE
Arthropoda	Branchiopoda	Diplostraca	Sididae	Penilia	Penilia avirostris	83836	83836	FALSE	FALSE	FALSE
Porifera	Demospongiae	Clionaida	Clionaidae	Cliona	Cliona vermifera	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Poecilosclerida	Microcionidae	Clathria	Clathria rugosa	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Clionaida	Placospongiidae	Placospongia	Placospongia carinata	48519	48519	FALSE	FALSE	FALSE
Arthropoda	Malacostraca	Decapoda	Sicyoniidae	Sicyonia	Sicyonia carinata	96042	96042	FALSE	FALSE	FALSE
Chordata	Actinopteri	Gobiiformes	Gobiidae	Lophogobius	Lophogobius cyprinoides	171896	171896	FALSE	FALSE	FALSE
Porifera	Demospongiae	Clionaida	Clionaidae	Cliona	Cliona chilensis	NA	NA	FALSE	NA	NA
Cnidaria	Hydrozoa	Anthoathecata	Oceaniidae	Turritopsis	Turritopsis lata	48900	48900	FALSE	FALSE	FALSE
Mollusca	Bivalvia	Arcoida	Arcidae	Barbatia	Barbatia candida	79378	79378	TRUE	TRUE	TRUE
Cnidaria	Anthozoa	Actiniaria	Aiptasiidae	Aiptasia	Aiptasia pulchella	611623	611623	FALSE	FALSE	FALSE
Arthropoda	Malacostraca	Decapoda	Alpheidae	Synalpheus	Synalpheus ul	NA	NA	FALSE	NA	NA
Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae	Amathia	Amathia verticillata	NA	NA	FALSE	NA	NA
Porifera	Homoscleromorpha	Homosclerophorida	Plakinidae	Oscarella	Oscarella malakhovi	NA	NA	FALSE	NA	NA
Cnidaria	Anthozoa	Actiniaria	Actinostolidae	Antholoba	Antholoba achates	52636	52636	FALSE	FALSE	FALSE
Nemertea	Pilidiophora	Heteronemertea	Lineidae	Micrura	Micrura chlorapardalis	NA	NA	TRUE	NA	TRUE
Chordata	Actinopteri	Lutjaniformes	Haemulidae	Haemulon	Haemulon plumierii	613026	613026	TRUE	TRUE	TRUE
Chordata	Actinopteri	Lutjaniformes	Lutjanidae	Lutjanus	Lutjanus griseus	168848	168848	TRUE	TRUE	TRUE
Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri	NA	NA	TRUE	NA	TRUE
Porifera	Demospongiae	Poecilosclerida	NA	Paracornulum	Paracornulum dubium	NA	NA	FALSE	NA	NA
Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Clytia	Clytia linearis	49606	49606	TRUE	TRUE	TRUE
Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	Aidanosagitta	Aidanosagitta neglecta	158733	158733	FALSE	FALSE	FALSE
Cnidaria	Anthozoa	Actiniaria	Metridiidae	Metridium	Metridium senile	52737	52737	FALSE	FALSE	FALSE
Chordata	Actinopteri	Beloniformes	Belonidae	Strongylura	Strongylura timucu	165554	165554	FALSE	FALSE	FALSE
Chordata	Actinopteri	Labriformes	Labridae	Sparisoma	Sparisoma aurofrenatum	170863	170863	TRUE	TRUE	TRUE
Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia mexicana	165902	165902	FALSE	FALSE	FALSE
Porifera	Demospongiae	Verongiida	Aplysinidae	Verongula	Verongula gigantea	NA	NA	FALSE	NA	NA
Annelida	Clitellata	Haplotaxida	Naididae	Allonais	Allonais paraguayensis	68968	68968	FALSE	FALSE	FALSE
Chordata	Actinopteri	NA	Pomacentridae	Abudefduf	Abudefduf saxatilis	170046	170046	TRUE	TRUE	TRUE
Arthropoda	Insecta	Hemiptera	Halimococcidae	Colobopyga	Colobopyga pritchardiae	NA	NA	FALSE	NA	NA
Mollusca	Bivalvia	Ostreoida	Ostreidae	Dendostrea	Dendostrea frons	79902	79902	TRUE	TRUE	TRUE
Arthropoda	Malacostraca	Decapoda	Ocypodidae	Minuca	Minuca burgersi	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Blenniiformes	Gobiesocidae	Tomicodon	Tomicodon lavettsmithi	643025	643025	FALSE	FALSE	FALSE
Annelida	Polychaeta	Aspidosiphonidormes	Aspidosiphonidae	Aspidosiphon	Aspidosiphon albus	154808	154808	FALSE	FALSE	FALSE
Porifera	Demospongiae	Haplosclerida	Petrosiidae	Xestospongia	Xestospongia testudinaria	NA	NA	FALSE	NA	NA
Cnidaria	Anthozoa	Corallimorpharia	Ricordeidae	Ricordea	Ricordea florida	52484	52484	TRUE	TRUE	TRUE
Nemertea	Palaeonemertea	NA	Cephalothricidae	Cephalothrix	Cephalothrix fasciculus	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Scombriformes	Scombridae	Thunnus	Thunnus obesus	172428	172428	FALSE	FALSE	FALSE
