Class	Order	Family	genspec	Common Name	tsn	accepted_tsn
Demospongiae	Poecilosclerida	Raspailiidae	Ectyoplasia ferox	Brown encrusting octopus sponge	48160	48160
Demospongiae	Poecilosclerida	Tedaniidae	Tedania ignis	Fire Sponge	48112	48112
Demospongiae	Poecilosclerida	Tedaniidae	Tedania klausi	NA	NA	NA
Demospongiae	Spirophorida	Tetillidae	Cinachyra sp.	NA	NA	NA
Demospongiae	Spirophorida	Tetillidae	Cinachyrella alloclada	NA	NA	NA
Demospongiae	Spirophorida	Tetillidae	Cinachyrella apion	NA	NA	NA
Demospongiae	Verongida	Aplysinidae	Aiolochroia crassa	Yellow throated tube sponge	47659	47659
Demospongiae	Verongida	Aplysinidae	Aplysina archeri	Stove-pipe sponge	NA	NA
Demospongiae	Verongida	Aplysinidae	Aplysina cauliformis	Row pore rope sponge	47609	47609
Demospongiae	Verongida	Aplysinidae	Aplysina fistularis	NA	47606	47606
Demospongiae	Verongida	Aplysinidae	Aplysina fulva	Scattered pore rope sponge	NA	NA
Demospongiae	Verongida	Aplysinidae	Aplysina insularis	NA	NA	NA
Demospongiae	Verongida	Aplysinidae	Aplysina lacunosa	NA	47605	47605
Demospongiae	Verongida	Aplysinidae	Verongula â€œintermediaâ€	NA	NA	NA
Demospongiae	Verongida	Aplysinidae	Verongula reiswigi	NA	NA	NA
Demospongiae	Verongida	Aplysinidae	Verongula rigida	Pitted sponge	NA	NA
Demospongiae	Verongida	Darwinellidae	Aplysilla gracilis	NA	NA	NA
Anthozoa	Actiniaria	Actiniidae	Anthopleura sp.	NA	NA	NA
Anthozoa	Actiniaria	Actiniidae	Condylactis gigantea	Giant anemone	52627	52627
Anthozoa	Actiniaria	Actiniidae	Phyllactis sp.	NA	NA	NA
Anthozoa	Actiniaria	Aiptasiidae	Aiptasia sp.	NA	NA	NA
Anthozoa	Actiniaria	Aiptasiidae	Bartholomea annulata	Curlique anemone	52774	52774
Anthozoa	Actiniaria	Aiptasiidae	Bartholomea lucida	Knobby anemone	611626	611626
Anthozoa	Actiniaria	Aiptasiidae	Bartholomea sp.	NA	NA	NA
Anthozoa	Actiniaria	Aiptasiidae	Heteractis lucida	NA	NA	NA
