Class	Order	Family	genspec	Common Name	tsn	accepted_tsn
Crustacea malacostraca	Decapoda	Albuneidae	Albunea catherinae	NA	621700	621700
Crustacea malacostraca	Decapoda	Albuneidae	Albunea paretii	Beach mole crab	98122	98122
Crustacea malacostraca	Decapoda	Albuneidae	Albunea Sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Albuneidae	Lepidopa sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheidae nov.gen sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheopsis labis	NA	96690	96690
Crustacea malacostraca	Decapoda	Alpheidae	Alpheopsis sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus amblyonyx	Bluntclaw snapping shrimp	96608	96608
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus angulosus	NA	621748	621748
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus armatus	Common anemone snapping shrimp	96612	96612
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus armillatus	Banded snapping shrimp	96611	96611
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus bahamensis	Bahamas snapping shrimp	96618	96618
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus bouvieri	Bouvier's banded snapping shrimp	96623	96623
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus chacei	Chace's snapping shrimp	96734	96734
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus christofferseni	Christoffersen's peanut-worm snapping shrimp.	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus cristulifrons	Rathbun's spotted snapping shrimp.	96626	96626
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus estuariensis	NA	96628	96628
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus floridanus	NA	96607	96607
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus formosus	Larger blue-legged snapping shrimp.	96609	96609
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus geminirostratus	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus heterochaelis	Big-claw snapping shrimp	96602	96602
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus immaculatus	Spotless anemone snapping shrimp	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus intrinsecus	NA	96635	96635
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus malleator	Western Atlantic bump-clawed snapping shrimp	96613	96613
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus normanni	NA	96606	96606
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus nr. estuarinensis	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus nuttingi	Nutting's snapping shrimp	96629	96629
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus paracrinitus	Miers' banded snapping shrimp	96614	96614
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus paraformosus	Smaller blue-legged snapping shrimp	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus peasei	NA	96630	96630
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus spp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus thomasi	Thomas' snapping shrimp	96632	96632
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus vanderbilti	Atlantic cylinder-clawed snapping shrimp	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus verrilli	NA	96616	96616
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus viridari	Viridar's snapping shrimp	96633	96633
Crustacea malacostraca	Decapoda	Alpheidae	Alpheus websteri	Webster's snapping shrimp	96634	96634
Crustacea malacostraca	Decapoda	Alpheidae	Automate sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Fenneralpheus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Leptalpheus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Salmoneus ortmanni	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Salmoneus sp. nov.	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus antillensis	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus apioceros	NA	96702	96702
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus apiocerus	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus brevicarpus	NA	96711	96711
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus cf. scaphoceris	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus chacei	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus dardeaui	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus elizabethae	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus fritzmuelleri	Speckled Snapping Shrimp	96697	96697
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus goodei	NA	96704	96704
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus guerini	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus hemphili	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus herricki	NA	96709	96709
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus kensleyi	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus longicarpus	NA	96698	96698
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus minus	Minor snapping shrimp	96700	96700
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus pandionis	Turtlegrass Snapping Shrimp	96703	96703
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus paraneptunus	NA	96715	96715
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus tenuispina	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus townsendi	Townsend Snapping Shrimp	96696	96696
Crustacea malacostraca	Decapoda	Alpheidae	Synalpheus williamsi	NA	NA	NA
Crustacea malacostraca	Decapoda	Alpheidae	Thunor sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Anchistioidae	Anchistioides antiguensis	NA	96541	96541
Crustacea malacostraca	Decapoda	Atyidae	Atya sp. juv	NA	NA	NA
Crustacea malacostraca	Decapoda	Calappidae	Calappa galloides	NA	660469	660469
Crustacea malacostraca	Decapoda	Calappidae	Calappa ocellata	NA	98344	98344
Crustacea malacostraca	Decapoda	Calappidae	Hepatus pudibundus	Flecked Box Crab	98349	98349
Crustacea malacostraca	Decapoda	Callianassidae	Biffarius fragilis	Fragile Ghost Shrimp	552846	552846
Crustacea malacostraca	Decapoda	Callianassidae	Corallianassa longiventris	NA	97770	97770
Crustacea malacostraca	Decapoda	Callianassidae	Glypturus acanthochirus	NA	97772	97772
Crustacea malacostraca	Decapoda	Callianassidae	Neocallichirus grandimana	Bighand Ghost Shrimp	552860	552860
Crustacea malacostraca	Decapoda	Callianassidae	Neocallichirus maryae	NA	NA	NA
Crustacea malacostraca	Decapoda	Callianassidae	Neocallichirus spp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Callianassidae	Neocallichirus sulfureus	NA	NA	NA
Crustacea malacostraca	Decapoda	Callianassidae	Pseudobiffarius caesari	NA	NA	NA
Crustacea malacostraca	Decapoda	Coenobitidae	Coenobita clypeatus	Caribbean Hermit Crab	97918	97918
Crustacea malacostraca	Decapoda	Diogenidae	Calcinus tibicen	Orangeclaw Hermit Crab	98205	98205
Crustacea malacostraca	Decapoda	Diogenidae	Clibanarius antillensis	Hermit Crab	98189	98189
Crustacea malacostraca	Decapoda	Diogenidae	Clibanarius sclopetarius	NA	NA	NA
Crustacea malacostraca	Decapoda	Diogenidae	Dardanus fucosus	Bareye Hermit	98195	98195
Crustacea malacostraca	Decapoda	Diogenidae	Paguristes puncticeps	NA	98168	98168
Crustacea malacostraca	Decapoda	Diogenidae	Paguristes sp. 1	NA	NA	NA
Crustacea malacostraca	Decapoda	Diogenidae	Paguristes tortugae	NA	98166	98166
Crustacea malacostraca	Decapoda	Diogenidae	Paguristes wassi	NA	98175	98175
Crustacea malacostraca	Decapoda	Diogenidae	Petrochirus diogenes	Giant Hermit	98200	98200
Crustacea malacostraca	Decapoda	Dromiidae	Dromidiopsis antillensis	NA	NA	NA
Crustacea malacostraca	Decapoda	Dromiidae	Hypoconcha spinosissima	Spiny shellback crab	98302	98302
Crustacea malacostraca	Decapoda	Epialtidae	Epialtus dilatatus	Winged mime crab	98443	98443
Crustacea malacostraca	Decapoda	Epialtidae	Epialtus nr. brasiliensis	NA	NA	NA
Crustacea malacostraca	Decapoda	Epialtidae	Epialtus sp. 1	NA	NA	NA
Crustacea malacostraca	Decapoda	Gecarcinidae	Cardisoma guanhumi	Blue Land Crab	99128	99128
Crustacea malacostraca	Decapoda	Gecarcinidae	Gecarcinus lateralis	Blackback land crab	99130	99130
Crustacea malacostraca	Decapoda	Gecarcinidae	Gecarcinus ruricola	Purple Land Crab	99131	99131
Crustacea malacostraca	Decapoda	Gecarcinidae	Gecarcinus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Gnatophyllidae	Gnatophyllum americanum	Bumblebee shrimp	NA	NA
Crustacea malacostraca	Decapoda	Grapsidae	Cyclograpsus integer	Globose shore crab	99064	99064
Crustacea malacostraca	Decapoda	Grapsidae	Geograpsus lividus	Spider Crab	99066	99066
Crustacea malacostraca	Decapoda	Grapsidae	Goniopsis cruentata	Purple mangrove crab	99068	99068
Crustacea malacostraca	Decapoda	Grapsidae	Grapsus grapsus	Red rock crab	99072	99072
Crustacea malacostraca	Decapoda	Grapsidae	Pachygrapsus gracilis	Dark shore crab	99049	99049
Crustacea malacostraca	Decapoda	Grapsidae	Pachygrapsus transversus	Mottled shore crab	99047	99047
Crustacea malacostraca	Decapoda	Grapsidae	Percnon gibbesii	Urchin crab	NA	NA
Crustacea malacostraca	Decapoda	Grapsidae	Plagusia depressa	Tidal spray crab	99078	99078
Crustacea malacostraca	Decapoda	Grapsidae	Sesarma curacaoense	Mangrove marsh crab	99042	99042
Crustacea malacostraca	Decapoda	Hippidae	Emerita brasiliensis	NA	NA	NA
Crustacea malacostraca	Decapoda	Hippidae	Hippa testudinaria	NA	660151	660151
Crustacea malacostraca	Decapoda	Hippolytidae	Hippolyte nicholsoni	NA	96754	96754
Crustacea malacostraca	Decapoda	Hippolytidae	Hippolyte obliquimanus	NA	621749	621749
Crustacea malacostraca	Decapoda	Hippolytidae	Hippolyte sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Hippolytidae	Hippolyte zostericola	Zostera shrimp	96751	96751
Crustacea malacostraca	Decapoda	Hippolytidae	Latreutes fucorum	Slender sargassum shrimp	96870	96870
Crustacea malacostraca	Decapoda	Hippolytidae	Latreutes parvulus	Sargassum shrimp	96871	96871
Crustacea malacostraca	Decapoda	Hippolytidae	Lysmata bahia	NA	NA	NA
Crustacea malacostraca	Decapoda	Hippolytidae	Lysmata hochi	NA	NA	NA
Crustacea malacostraca	Decapoda	Hippolytidae	Lysmata intermedia	NA	96894	96894
Crustacea malacostraca	Decapoda	Hippolytidae	Lysmata sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Hippolytidae	Merguia rhizophorae	NA	NA	NA
Crustacea malacostraca	Decapoda	Hippolytidae	Thor amboinensis	Sexy anemone shrimp	96920	96920
Crustacea malacostraca	Decapoda	Hippolytidae	Thor manningu	Manning grass shrimp	NA	NA
Crustacea malacostraca	Decapoda	Hippolytidae	Thor sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Hippolytidae	Tozeuma carolinense	Arrow shrimp	96912	96912
Crustacea malacostraca	Decapoda	Inachidae	Podochela macrodera	NA	98494	98494
Crustacea malacostraca	Decapoda	Leptocheidae	Leptochela serratorbita	Combclaw shrimp	96178	96178
Crustacea malacostraca	Decapoda	Leucosiidae	Speloeophorus nodosus	Two hole clutch crab	98386	98386
Crustacea malacostraca	Decapoda	Majidae	Acanthonyx petiverii	Jacknife spider crab	98594	98594
Crustacea malacostraca	Decapoda	Majidae	Chorinus heros	Shorthorn decorator crab	98598	98598
Crustacea malacostraca	Decapoda	Majidae	Macrocoeloma camptocernum	NA	NA	NA
Crustacea malacostraca	Decapoda	Majidae	Macrocoeloma septedentata	NA	NA	NA
Crustacea malacostraca	Decapoda	Majidae	Macrocoeloma trispinosum	Spongy decorator crab	98498	98498
Crustacea malacostraca	Decapoda	Majidae	Pitho anisodon	Oval urn crab	98549	98549
Crustacea malacostraca	Decapoda	Majidae	Pitho laevigata	Eggshell urn crab	98550	98550
Crustacea malacostraca	Decapoda	Majidae	Stenorhynchus seticornis	Yellowline Arrow Crab	98483	98483
Crustacea malacostraca	Decapoda	Majidae	Thoe puella	Scarlet mime crab	98586	98586
Crustacea malacostraca	Decapoda	Menippidae	Carpilius corallinus	Batwing coral crab	98897	98897
Crustacea malacostraca	Decapoda	Menippidae	Eriphia gonagra	Redfinger rubble crab	98888	98888
Crustacea malacostraca	Decapoda	Menippidae	Menippe nodifrons	Cuban stone crab; Cangrejo jorobado	98813	98813
Crustacea malacostraca	Decapoda	Mithracidae	Macrocoeloma subparellelum	NA	NA	NA
Crustacea malacostraca	Decapoda	Mithracidae	Microphrys bicornutus	Speck-claw decorator crab	621728	621728
Crustacea malacostraca	Decapoda	Mithracidae	Mithraculus cinctimanus	Banded clinging crab	98606	98606
Crustacea malacostraca	Decapoda	Mithracidae	Mithraculus coryphe	Nodose clinging crab	98608	98608
Crustacea malacostraca	Decapoda	Mithracidae	Mithraculus forceps	Red-ridged clinging crab	98610	98610
Crustacea malacostraca	Decapoda	Mithracidae	Mithraculus sculptus	Green clinging crab	98612	98612
Crustacea malacostraca	Decapoda	Mithracidae	Mithrax antillensis	NA	NA	NA
Crustacea malacostraca	Decapoda	Mithracidae	Mithrax bicornutus	Decorator crab	NA	NA
Crustacea malacostraca	Decapoda	Mithracidae	Mithrax caribbaeus	Knobbed spider crab	660509	660509
Crustacea malacostraca	Decapoda	Mithracidae	Mithrax hispidus	Coral spider crab	98520	98520
Crustacea malacostraca	Decapoda	Mithracidae	Mithrax pleuracanthus	Shaggy clinging crab	98521	98521
Crustacea malacostraca	Decapoda	Mithracidae	Mithrax sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Mithracidae	Mithrax spinosissimus	West Indian spider crab	98524	98524
Crustacea malacostraca	Decapoda	Mithracidae	Mithrax tortugae	Coral clinging crab	98528	98528
Crustacea malacostraca	Decapoda	Mithracidae	Mithrax verrucosus	Red spider crab	98529	98529
Crustacea malacostraca	Decapoda	Ocypodidae	Ocypode quadrata	Ghost crab	99082	99082
Crustacea malacostraca	Decapoda	Ocypodidae	Uca burgersi	Burger's fiddler crab	99096	99096
Crustacea malacostraca	Decapoda	Ocypodidae	Uca mordax	NA	NA	NA
Crustacea malacostraca	Decapoda	Ocypodidae	Uca rapax	Mudflat fiddler crab	99088	99088
Crustacea malacostraca	Decapoda	Ocypodidae	Uca thayeri	Thayer's fiddler crab	99101	99101
Crustacea malacostraca	Decapoda	Ocypodidae	Uca vocator	Atlantic hairback fiddler	99102	99102
Crustacea malacostraca	Decapoda	Ocypodidae	Ucides cordatus	Mangrove land crab	99105	99105
Crustacea malacostraca	Decapoda	Paguridae	Iridopagurus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Paguridae	Pagurus criniticornis	NA	97829	97829
Crustacea malacostraca	Decapoda	Paguridae	Pagurus provenzanoi	NA	97826	97826
Crustacea malacostraca	Decapoda	Paguridae	Pagurus sp. 1	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Brachycarpus biunguiculatus	Twoclaw shrimp	96545	96545
Crustacea malacostraca	Decapoda	Palaemonidae	Cuapetes americanus	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Kemponia americanus	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Leander paulensis	Red-algae shrimp	96219	96219
Crustacea malacostraca	Decapoda	Palaemonidae	Leander tenuicornis	Brown glass shrimp	96215	96215
Crustacea malacostraca	Decapoda	Palaemonidae	Macrobrachium acanthurus	NA	96225	96225
Crustacea malacostraca	Decapoda	Palaemonidae	Macrobrachium nr. crenulatum	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Neopontonides cf. beaufortensis	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Neopontonides chacei	NA	96435	96435
Crustacea malacostraca	Decapoda	Palaemonidae	Palaemon northropi	Crossbanded grass shrimp	96474	96474
Crustacea malacostraca	Decapoda	Palaemonidae	Palaemon sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenaeus bermudensis	Bermuda sponge shrimp	96444	96444
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenaeus caraibicus	NA	96438	96438
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenaeus schmitti	Tortugas bigclaw	96437	96437
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenaeus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenes cf. patae	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenes iridescens	Iridescent shrimp	96416	96416
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenes pauper	NA	612481	612481
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenes pedersoni	Pederson cleaner shrimp	96421	96421
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenes perryae	Basketstar shrimp	96419	96419
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenes rathbunae	NA	96418	96418
Crustacea malacostraca	Decapoda	Palaemonidae	Periclimenes yucatanicus	Spotted cleaner shrimp	96424	96424
Crustacea malacostraca	Decapoda	Palaemonidae	Pontonia mexicana	Caribbean Pen Shrimp	96431	96431
Crustacea malacostraca	Decapoda	Palaemonidae	Pontonia sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Pseudocoutierea dotae	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Pseudocoutierea sp. nov.	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Pseudopontonides sp. nov	NA	NA	NA
Crustacea malacostraca	Decapoda	Palaemonidae	Typton carneus	NA	96532	96532
Crustacea malacostraca	Decapoda	Palaemonidae	Typton sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Palinuridae	Panulirus argus	Caribbean spiny lobster	97648	97648
Crustacea malacostraca	Decapoda	Palinuridae	Panulirus guttatus	Spotted spiny lobster	97651	97651
Crustacea malacostraca	Decapoda	Palinuridae	Panulirus laevicauda	Smooth tail spiny lobster / Langosta verde / Dulub Arat	97652	97652
Crustacea malacostraca	Decapoda	Panopeidae	Acantholobulus acantholobulus	NA	NA	NA
Crustacea malacostraca	Decapoda	Panopeidae	Acantholobulus bermudensis	Strongtooth mud crab	NA	NA
Crustacea malacostraca	Decapoda	Panopeidae	Cataleptodius floridanus	Spoonfinger rubble crab	98894	98894
Crustacea malacostraca	Decapoda	Panopeidae	Eurypanopeus abbreviatus	Lobate mud crab	98760	98760
Crustacea malacostraca	Decapoda	Panopeidae	Eurytium limosum	Broadback mud crab	98792	98792
Crustacea malacostraca	Decapoda	Panopeidae	Hexapanopeus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Panopeidae	Neopanope packardi	NA	98774	98774
Crustacea malacostraca	Decapoda	Panopeidae	Panopeus lacustris	Knotfinger mud crab	98785	98785
Crustacea malacostraca	Decapoda	Panopeidae	Panopeus occidentalis	Furrowed mud crab	98780	98780
Crustacea malacostraca	Decapoda	Parthenopeidae	Heterocrypta granulata	Smooth elbow crab	98636	98636
Crustacea malacostraca	Decapoda	Penaeidae	Farfantepenaeus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Penaeidae	Metapenaeopsis gerardoi	NA	95675	95675
Crustacea malacostraca	Decapoda	Penaeidae	Metapenaopsis goodei	Velvet shrimp	NA	NA
Crustacea malacostraca	Decapoda	Penaeidae	Penaeus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Pilumnidae	Pilumnus caribaeus	Coarsespined hairy crab	98825	98825
Crustacea malacostraca	Decapoda	Pilumnidae	Pilumnus dasypodus	Shortspine hairy crab	98819	98819
Crustacea malacostraca	Decapoda	Pilumnidae	Pilumnus floridanus	Plumed hairy crab	98815	98815
Crustacea malacostraca	Decapoda	Pilumnidae	Pilumnus gemmatus	Tuberculate hairy crab	98820	98820
Crustacea malacostraca	Decapoda	Pilumnidae	Pilumnus holosericus	Roseate hairy crab	98826	98826
Crustacea malacostraca	Decapoda	Pilumnidae	Pilumnus nudimanus	NA	98828	98828
Crustacea malacostraca	Decapoda	Pilumnidae	Pilumnus pannosus	Beaded hairy crab	98816	98816
Crustacea malacostraca	Decapoda	Pilumnidae	Pilumnus reticulatus	NA	NA	NA
Crustacea malacostraca	Decapoda	Pilumnidae	Pilumnus sayi	Spineback hairy crab	98817	98817
Crustacea malacostraca	Decapoda	Pilumnidae	Pilumnus sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Pinnotheridae	Austinixa cristata	Cristate pea crab	621738	621738
Crustacea malacostraca	Decapoda	Pinnotheridae	Austinixa spp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Pinnotheridae	Clypeasterophilus rugatus	NA	660733	660733
Crustacea malacostraca	Decapoda	Pinnotheridae	Fabia sp. 1	NA	NA	NA
Crustacea malacostraca	Decapoda	Pinnotheridae	Pinnixa faxoni complex	NA	NA	NA
Crustacea malacostraca	Decapoda	Pinnotheridae	Pinnixa nr. floridanus	NA	NA	NA
Crustacea malacostraca	Decapoda	Pinnotheridae	Pinnixodes sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Pinnotheridae	Pinnotheres pauli	NA	NA	NA
Crustacea malacostraca	Decapoda	Pinnotheridae	Tumidotheres sp. 1	NA	NA	NA
Crustacea malacostraca	Decapoda	Pinnotheridae	Tunicotheres moseri	Ascidian pea crab	660740	660740
Crustacea malacostraca	Decapoda	Pisidae	Pelia mutica	Cryptic teardrop crab	98469	98469
Crustacea malacostraca	Decapoda	Porcellanidae	Megalobrachium poeyi	Hairyclaw porcelain crab	98095	98095
Crustacea malacostraca	Decapoda	Porcellanidae	Megalobrachium roseum	NA	NA	NA
Crustacea malacostraca	Decapoda	Porcellanidae	Megalobrachium soriatum	NA	98094	98094
Crustacea malacostraca	Decapoda	Porcellanidae	Neospisoma sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Porcellanidae	Pachycheles cristobalensis	NA	NA	NA
Crustacea malacostraca	Decapoda	Porcellanidae	Pachycheles pilosus	NA	98078	98078
Crustacea malacostraca	Decapoda	Porcellanidae	Pachycheles serratus	NA	NA	NA
Crustacea malacostraca	Decapoda	Porcellanidae	Petrolisthes armatus	Green porcelain crab	98062	98062
Crustacea malacostraca	Decapoda	Porcellanidae	Petrolisthes caribensis	NA	NA	NA
Crustacea malacostraca	Decapoda	Porcellanidae	Petrolisthes galathinus	Banded porcelain crab	98063	98063
Crustacea malacostraca	Decapoda	Porcellanidae	Petrolisthes jugosus	Red-white porcelain crab	98065	98065
Crustacea malacostraca	Decapoda	Portunidae	Achelous sebae	Ocellate swimming crab	NA	NA
Crustacea malacostraca	Decapoda	Portunidae	Arenaeus cribrarius	Speckled Swimming Crab	98691	98691
Crustacea malacostraca	Decapoda	Portunidae	Callinectes exasperatus	Rugose swimming crab	98704	98704
Crustacea malacostraca	Decapoda	Portunidae	Callinectes larvatus	Masked swimming crab	98705	98705
Crustacea malacostraca	Decapoda	Portunidae	Callinectes ornatus	Ornate blue crab	98699	98699
Crustacea malacostraca	Decapoda	Portunidae	Charybdis helleri	Portunid crab	199969	199969
Crustacea malacostraca	Decapoda	Portunidae	Portunus anceps	Delicate swimming crab	98722	98722
Crustacea malacostraca	Decapoda	Portunidae	Portunus sebae	Ocellate swimming crab	98731	98731
Crustacea malacostraca	Decapoda	Portunidae	Portunus spinicarpa	NA	NA	NA
Crustacea malacostraca	Decapoda	Processidae	Ambidexter symmetricus	NA	96963	96963
Crustacea malacostraca	Decapoda	Processidae	Nikoides schmitti	NA	96961	96961
Crustacea malacostraca	Decapoda	Processidae	Processa bermudensis	Bermuda night shrimp	96944	96944
Crustacea malacostraca	Decapoda	Processidae	Processa fimbriata	Grass Night Shrimp	96955	96955
Crustacea malacostraca	Decapoda	Sesarmidae	Aratus pisonii	Mangrove tree crab	99062	99062
Crustacea malacostraca	Decapoda	Sesarmidae	Armases americanum	NA	NA	NA
Crustacea malacostraca	Decapoda	Sesarmidae	Armases ricordi	Humic marsh crab	660772	660772
Crustacea malacostraca	Decapoda	Sesarmidae	Metasesarma rubripes	NA	573574	573574
Crustacea malacostraca	Decapoda	Sicyonidae	Sicyonia laevigata	Coral shrimp	96033	96033
Crustacea malacostraca	Decapoda	Stenopodidae	Microprosthema semilaeve	Crimson coral shrimp	97305	97305
Crustacea malacostraca	Decapoda	Stenopodidae	Odontozona sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Stenopodidae	Stenopus hispidus	Banded coral shrimp	97298	97298
Crustacea malacostraca	Decapoda	Stenopodidae	Stenopus scutellatus	Golden coral shrimp	97297	97297
Crustacea malacostraca	Decapoda	Trapeziidae	Domecia acanthophora	Elkhorn coral crab	98858	98858
Crustacea malacostraca	Decapoda	Tychidae	Pitho lherminieri	Broadback urn crab	98547	98547
Crustacea malacostraca	Decapoda	Tychidae	Pitho mirabilis	NA	98551	98551
Crustacea malacostraca	Decapoda	Upogebiidae	Pomatogebia operculata	Operculate mud shrimp	203673	203673
Crustacea malacostraca	Decapoda	Upogebiidae	Upogebia sp. 1	NA	NA	NA
Crustacea malacostraca	Decapoda	Upogebiidae	Upogebia sp. 2	NA	NA	NA
Crustacea malacostraca	Decapoda	Xanthidae	Actaea rufopunctata	NA	98846	98846
Crustacea malacostraca	Decapoda	Xanthidae	Chlorodiella longimana	Longhand rubble crab	98892	98892
Crustacea malacostraca	Decapoda	Xanthidae	Etisus maculatus	Blackfinger rubble crab	98886	98886
Crustacea malacostraca	Decapoda	Xanthidae	Melybia sp.	NA	NA	NA
Crustacea malacostraca	Decapoda	Xanthidae	Paraliomera dispar	Black coral crab	98879	98879
Crustacea malacostraca	Decapoda	Xanthidae	Xanthodius denticulatus	Denticulate rubble crab	98870	98870
Crustacea malacostraca	Isopoda	Aegidae	Aega sp.	NA	NA	NA
Crustacea malacostraca	Isopoda	Anthuridae	Mesanthura sp.	NA	NA	NA
Crustacea malacostraca	Isopoda	Cirolanidae	Cirolana sp.	NA	NA	NA
Crustacea malacostraca	Isopoda	Cirolanidae	Metacirolana sp.	NA	NA	NA
Crustacea malacostraca	Isopoda	Corallanidae	Excorallana mexicana	NA	92530	92530
Crustacea malacostraca	Isopoda	Corallanidae	Excorallana sp.	NA	NA	NA
Crustacea malacostraca	Isopoda	Sphaeromatidae	Dynamenalla quadrilirata	NA	NA	NA
Crustacea malacostraca	Isopoda	Sphaeromatidae	Exosphaeroma sp.	NA	NA	NA
Crustacea malacostraca	Isopoda	Sphaeromatidae	Paracerceis caudata	NA	546029	546029
Crustacea malacostraca	Leptostraca	Nebaliidae	Nebalia sp.	NA	NA	NA
Crustacea malacostraca	Leptostraca	Paranebaliidae	Paranebalia belizensis	NA	NA	NA
Crustacea malacostraca	Stomatopoda	Gonodactylidae	Neogonodactylus bredini	Caribbean Rock Mantis Shrimp	682548	682548
